#Iteration	Date	Time	Chirp	Phase	RamanAxis	RTPhase	NFringe	Ratio
1	10/05/2023	13:35:01.104	0.00000000E+0	-1.56922630E+3	5.00000000E+0	3.47408299E+0	-8.97000000E+2	4.94000358E-1
2	10/05/2023	13:35:02.591	0.00000000E+0	-1.56294311E+3	5.00000000E+0	5.02148611E+0	-8.98000000E+2	4.70354022E-1
3	10/05/2023	13:35:04.113	0.00000000E+0	-1.55665993E+3	5.00000000E+0	1.99034007E+0	-8.97000000E+2	4.35634182E-1
4	10/05/2023	13:35:05.575	0.00000000E+0	-1.55037674E+3	5.00000000E+0	3.45184027E+0	-8.92000000E+2	4.59766063E-1
5	10/05/2023	13:35:07.016	0.00000000E+0	-1.54409356E+3	5.00000000E+0	1.60684488E-1	-8.78000000E+2	4.67685393E-1
6	10/05/2023	13:35:08.588	0.00000000E+0	-1.53781037E+3	5.00000000E+0	5.66000561E+0	-8.66000000E+2	5.88452115E-1
7	10/05/2023	13:35:10.075	0.00000000E+0	-1.53152719E+3	5.00000000E+0	2.80450038E+0	-8.47000000E+2	5.26135404E-1
8	10/05/2023	13:35:11.564	0.00000000E+0	-1.52524400E+3	5.00000000E+0	2.40489838E+0	-8.15000000E+2	6.22294442E-1
9	10/05/2023	13:35:13.026	0.00000000E+0	-1.51896082E+3	5.00000000E+0	4.97661717E+0	-7.99000000E+2	4.95336824E-1
10	10/05/2023	13:35:14.491	0.00000000E+0	-1.51267763E+3	5.00000000E+0	6.39286493E-1	-7.80000000E+2	4.49931797E-1
11	10/05/2023	13:35:16.155	0.00000000E+0	-1.50639444E+3	5.00000000E+0	1.42468466E+0	-8.09000000E+2	3.90682668E-1
12	10/05/2023	13:35:17.621	0.00000000E+0	-1.50011126E+3	5.00000000E+0	4.16130638E+0	-8.42000000E+2	5.29928754E-1
13	10/05/2023	13:35:19.223	0.00000000E+0	-1.49382807E+3	5.00000000E+0	3.20832082E+0	-8.69000000E+2	4.11760474E-1
14	10/05/2023	13:35:20.729	0.00000000E+0	-1.48754489E+3	5.00000000E+0	5.90966099E-1	-8.82000000E+2	4.76874466E-1
